side,passer,n_passes,mean_EEPV_added,total_EEPV_added
Home,Z. Machach,24,0.0024039873140198533,0.05769569553647648
Home,R. Teague,18,0.002046115934263898,0.03683008681675016
Home,N. Velupillay,16,0.0020549057737271597,0.032878492379634555
Away,L. Verstraete,13,0.001992716150295449,0.025905309953840838
Home,L. Jackson,32,0.0007991685013793587,0.025573392044139477
Home,K. Bos,23,0.0009758387534729881,0.022444291329878727
Away,N. Pijnaker,17,0.0012953285731593708,0.022020585743709305
Home,N. Vergos,7,0.003107758174658078,0.021754307222606545
Home,B. Hamill,20,0.0010011613880262578,0.020023227760525154
Home,J. Valadon,21,0.0009161070324457401,0.01923824768136054
Away,A. Paulsen,5,0.0027941871821037505,0.013970935910518753
Away,L. Rogerson,8,0.0015342486974936954,0.012273989579949563
Away,F. De Vries,9,0.001208870802346215,0.010879837221115934
Away,M. Francois,10,0.0007884586471930851,0.007884586471930851
Away,H. Sakai,15,1.988880651776637e-05,0.00029833209776649553
Away,F. Gallegos,19,-0.00044888703954370655,-0.008528853751330424
Home,J. Inserra,14,-0.0008559443080555021,-0.01198322031277703
Away,D. Hall,21,-0.0009904716159522733,-0.02079990393499774
Home,D. Arzani,15,-0.0015663762085343816,-0.023495643128015723
Away,G. May,9,-0.005771076811499524,-0.05193969130349572
